image_path,true_class,predicted_class,confidence,cat_probability,dog_probability
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.6349.jpg,猫,狗,0.999957,0.000043,0.999957
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.12155.jpg,猫,狗,0.999945,0.000055,0.999945
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.883.jpg,猫,狗,0.999931,0.000069,0.999931
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.11432.jpg,猫,狗,0.999910,0.000090,0.999910
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.4688.jpg,猫,狗,0.999751,0.000249,0.999751
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.7738.jpg,猫,狗,0.999372,0.000628,0.999372
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.5351.jpg,猫,狗,0.999313,0.000687,0.999313
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.7531.jpg,猫,狗,0.998905,0.001095,0.998905
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.6792.jpg,猫,狗,0.996144,0.003856,0.996144
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.799.jpg,猫,狗,0.994144,0.005857,0.994144
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.12004.jpg,猫,狗,0.993514,0.006486,0.993514
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/dogs/dog.7602.jpg,狗,猫,0.993369,0.993369,0.006631
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.4551.jpg,猫,狗,0.993095,0.006904,0.993095
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.7377.jpg,猫,狗,0.992999,0.007001,0.992999
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.3105.jpg,猫,狗,0.992491,0.007509,0.992491
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.503.jpg,猫,狗,0.992030,0.007970,0.992030
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.3173.jpg,猫,狗,0.991597,0.008403,0.991597
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.10147.jpg,猫,狗,0.991385,0.008615,0.991385
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.1750.jpg,猫,狗,0.990310,0.009690,0.990310
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.4699.jpg,猫,狗,0.989865,0.010135,0.989865
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/dogs/dog.9913.jpg,狗,猫,0.987877,0.987877,0.012123
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.3998.jpg,猫,狗,0.987691,0.012309,0.987691
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.11333.jpg,猫,狗,0.987616,0.012384,0.987616
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.9770.jpg,猫,狗,0.985640,0.014360,0.985640
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.1288.jpg,猫,狗,0.985555,0.014445,0.985555
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.6157.jpg,猫,狗,0.984610,0.015390,0.984610
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.4190.jpg,猫,狗,0.984232,0.015768,0.984232
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.3780.jpg,猫,狗,0.984222,0.015778,0.984222
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.2811.jpg,猫,狗,0.983541,0.016459,0.983541
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.9432.jpg,猫,狗,0.982008,0.017992,0.982008
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.1249.jpg,猫,狗,0.981644,0.018356,0.981644
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.6915.jpg,猫,狗,0.981070,0.018930,0.981070
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.1828.jpg,猫,狗,0.980899,0.019101,0.980899
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/dogs/dog.858.jpg,狗,猫,0.978995,0.978995,0.021005
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/dogs/dog.8898.jpg,狗,猫,0.978940,0.978940,0.021060
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.6644.jpg,猫,狗,0.976233,0.023767,0.976233
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.3103.jpg,猫,狗,0.975379,0.024621,0.975379
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.3697.jpg,猫,狗,0.975279,0.024721,0.975279
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.12436.jpg,猫,狗,0.975052,0.024948,0.975052
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.7372.jpg,猫,狗,0.974394,0.025606,0.974394
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/dogs/dog.5804.jpg,狗,猫,0.973617,0.973617,0.026383
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.3646.jpg,猫,狗,0.972392,0.027608,0.972392
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.12167.jpg,猫,狗,0.972046,0.027954,0.972046
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.4380.jpg,猫,狗,0.971903,0.028097,0.971903
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.3701.jpg,猫,狗,0.971643,0.028357,0.971643
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.2341.jpg,猫,狗,0.971505,0.028495,0.971505
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.4833.jpg,猫,狗,0.971143,0.028857,0.971143
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.9561.jpg,猫,狗,0.970790,0.029210,0.970790
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.4637.jpg,猫,狗,0.968862,0.031138,0.968862
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.3535.jpg,猫,狗,0.968771,0.031229,0.968771
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.5072.jpg,猫,狗,0.967905,0.032095,0.967905
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/dogs/dog.9233.jpg,狗,猫,0.965179,0.965179,0.034821
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.5063.jpg,猫,狗,0.964108,0.035893,0.964108
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/dogs/dog.11843.jpg,狗,猫,0.962855,0.962855,0.037145
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.1956.jpg,猫,狗,0.961899,0.038101,0.961899
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/dogs/dog.3022.jpg,狗,猫,0.960246,0.960246,0.039754
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.3164.jpg,猫,狗,0.959583,0.040417,0.959583
/Users/shiquantao/Desktop/深度学习/猫狗分类器/数据/Preprocessed_Data/test/cats/cat.6568.jpg,猫,狗,0.956339,0.043661,0.956339
